CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Richmond, VA",40060,10/06/2022,50.0,Good,Ozone,51-036-0002,8
"Weirton-Steubenville, WV-OH",48260,24/08/2022,61.0,Moderate,Ozone,39-081-0017,4
"Richmond, VA",40060,2/02/2022,52.0,Moderate,PM2.5,51-760-0025,3
"Lake Havasu City-Kingman, AZ",29420,30/09/2022,19.0,Good,PM10,04-015-1003,1
"Cleveland, MS",17380,6/01/2022,24.0,Good,PM2.5,28-011-0002,1
"Espa¤ola, NM",21580,12/08/2022,45.0,Good,Ozone,35-039-0026,1
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,3/02/2022,32.0,Good,Ozone,36-063-1006,4
"Othello, WA",36830,2/01/2022,8.0,Good,PM2.5,53-001-0003,1
"Trenton, NJ",45940,5/07/2022,50.0,Good,Ozone,34-021-0008,3
"Dayton, OH",19380,1/02/2022,62.0,Moderate,PM2.5,39-135-1001,2
"Erie, PA",21500,26/07/2022,21.0,Good,PM2.5,42-049-0003,1
"Hailey, ID",25200,26/02/2022,28.0,Good,PM2.5,16-013-0004,1
"New Haven-Milford, CT",35300,6/06/2022,58.0,Moderate,Ozone,09-009-9002,3
"Fort Collins, CO",22660,18/04/2022,46.0,Good,Ozone,08-069-0007,4
"Hartford-West Hartford-East Hartford, CT",25540,9/04/2022,40.0,Good,,09-013-1001,4
"Spartanburg, SC",43900,23/08/2022,44.0,Good,Ozone,45-083-0009,2
"El Centro, CA",20940,23/04/2022,47.0,Good,Ozone,06-025-1003,6
"Springfield, IL",44100,26/08/2022,36.0,Good,Ozone,17-167-0014,2
"Modesto, CA",33700,12/04/2022,40.0,Good,Ozone,06-099-0005,1
"Taos, NM",45340,16/04/2022,18.0,Good,PM2.5,35-055-0005,1
"Savannah, GA",42340,28/02/2022,44.0,Good,,13-051-1002,1
"Oklahoma City, OK",36420,11/05/2022,48.0,Good,Ozone,40-109-1037,7
"Show Low, AZ",43320,4/09/2022,12.0,Good,PM10,04-017-1002,1
"San Jose-Sunnyvale-Santa Clara, CA",41940,4/05/2022,54.0,Moderate,Ozone,06-069-0003,8
"College Station-Bryan, TX",17780,2/08/2022,31.0,Good,PM2.5,48-041-1086,1
"Harrisonburg, VA",25500,3/02/2022,17.0,Good,NO2,51-165-0003,1
"Laconia, NH",29060,9/06/2022,23.0,Good,Ozone,33-001-2004,1
"Santa Maria-Santa Barbara, CA",42200,14/05/2022,,Moderate,,06-083-1025,7
"Beaumont-Port Arthur, TX",13140,5/03/2022,44.0,Good,Ozone,48-245-0101,8
"Cambridge, MD",15700,31/07/2022,46.0,Good,Ozone,24-019-9991,1
"Lexington-Fayette, KY",30460,26/02/2022,52.0,Moderate,PM2.5,21-067-0012,1
"Riverton, WY",40180,29/07/2022,20.0,Good,PM2.5,56-013-1003,1
"Greenville-Anderson-Mauldin, SC",24860,4/04/2022,44.0,Good,Ozone,45-007-0006,3
"Augusta-Waterville, ME",12300,9/08/2022,14.0,Good,Ozone,23-011-2001,1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,27/01/2022,61.0,Moderate,PM2.5,06-079-8002,10
"Hattiesburg, MS",25620,23/09/2022,38.0,Good,PM2.5,28-035-0004,1
"Rapid City, SD",39660,15/03/2022,42.0,Good,Ozone,46-033-0132,3
"Portland-South Portland, ME",38860,23/08/2022,31.0,Good,Ozone,23-031-2002,5
"Missoula, MT",33540,22/05/2022,40.0,Good,,30-063-0024,3
"Brunswick, GA",15260,28/07/2022,43.0,Good,PM2.5,13-127-0006,1
"Asheville, NC",11700,10/01/2022,0.0,Good,,37-021-0034,1
"Baton Rouge, LA",12940,2/08/2022,25.0,Good,Ozone,22-033-0013,9
"Charlottesville, VA",16820,5/04/2022,45.0,Good,PM2.5,51-003-0001,1
"Durango, CO",20420,5/10/2022,34.0,Good,Ozone,08-067-7003,2
"Pierre, SD",38180,29/06/2022,8.0,Good,PM2.5,46-065-0003,1
"San Juan-Carolina-Caguas, PR",41980,23/01/2022,18.0,Good,PM2.5,72-061-0005,5
"Chicago-Naperville-Elgin, IL-IN-WI",16980,24/04/2022,44.0,Good,PM2.5,17-031-0001,31
"St. Louis, MO-IL",41180,12/09/2022,37.0,Good,,17-163-0010,7
"Marshall, MN",32140,14/03/2022,8100,Good,Ozone,27-083-4210,1
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,13/06/2022,62.0,Moderate,PM2.5,12-099-0008,17
"Bismarck, ND",13900,15/06/2022,30.0,Good,Ozone,38-065-0002,2
"Oklahoma City, OK",36420,10/08/2022,105.0,Unhealthy for Sensitive Groups,Ozone,40-027-0049,6
"Hanford-Corcoran, CA",25260,31/03/2022,42.0,Good,PM2.5,06-031-0004,3
"Kalamazoo-Portage, MI",28020,1/05/2022,31.0,Good,Ozone,26-077-0008,1
"Lansing-East Lansing, MI",29620,26/01/2022,31.0,Good,NO2,26-065-0018,1
"El Paso, TX",21340,8/04/2022,56.0,Moderate,PM2.5,48-141-0044,6
"Baltimore-Columbia-Towson, MD",12580,10/01/2022,35.0,Good,Ozone,24-005-3001,5
"Homosassa Springs, FL",26140,26/02/2022,45.0,Good,PM2.5,12-017-0006,1
"Greensboro-High Point, NC",24660,25/02/2022,20.0,Good,PM2.5,37-081-0013,1
"Gulfport-Biloxi-Pascagoula, MS",25060,21/09/2022,66.0,Moderate,PM2.5,28-047-0008,3
"Charlotte-Concord-Gastonia, NC-SC",16740,25/05/2022,26.0,Good,Ozone,37-159-0021,9
"Valdosta, GA",46660,25/06/2022,39.0,Good,PM2.5,13-185-0003,1
"Santa Fe, NM",42140,28/01/2022,44.0,Good,,35-049-0021,1
"Port St. Lucie, FL",38940,18/01/2022,38.0,Good,Ozone,12-111-0013,2
"St. Joseph, MO-KS",41140,19/03/2022,43.0,Good,Ozone,29-003-0001,2
"Gainesville, FL",23540,17/03/2022,41.0,Good,Ozone,12-001-3012,1
"Tallahassee, FL",45220,27/06/2022,38.0,Good,Ozone,12-073-0012,2
"Wilmington, OH",48940,3/09/2022,36.0,Good,Ozone,39-027-1002,1
"Bend-Redmond, OR",13460,17/06/2022,11.0,Good,PM2.5,41-017-0120,2
"Kalamazoo-Portage, MI",28020,16/01/2022,58.0,Moderate,PM2.5,26-077-0008,1
"Fond du Lac, WI",22540,27/06/2022,40.0,Good,Ozone,55-039-0006,1
"Pensacola-Ferry Pass-Brent, FL",37860,6/05/2022,39.0,Good,Ozone,12-113-0015,3
"Keene, NH",28300,1/03/2022,40.0,Good,,33-005-0007,1
"Corning, NY",18500,19/09/2022,35.0,Good,PM2.5,36-101-0003,1
"Janesville-Beloit, WI",27500,6/08/2022,35.0,Good,Ozone,55-105-0030,1
"Berlin, NH-VT",13620,12/01/2022,43.0,Good,Ozone,33-007-4001,1
